p05493_f001,p05493_f002,p05493_f003,p05493_f004,p05493_f005,p05493_f006,p05493_f007,p05493_f008,p05493_f009,p05493_f010,p05493_f011,p05493_f012,p05493_f013,p05493_f014,p05493_f015,p05493_f016,p05493_f017,p05493_f018,p05493_f019,p05493_f020,p05493_f021,p05493_f022,p05493_f023,p05493_f024,p05493_f025,p05493_f026,p05493_f027,p05493_f028,p05493_f029,p05493_f030,p05493_f031,jydm_mc
2617.HK,药捷安康-B,配售,实施完成,2026/04/15,2026/04/21,5085000.0000,1.274444,57.0300,289997550.0000,282150000.0000,"公司拟按如下方式分配配售事项所得款项净额(经扣除发行费用后)(i)配售事项所得款项净额的约57%,或约160.83百万港元,用于研发,包括公司的核心产品Tinengotinib在晚期乳腺癌、肝细胞癌、去势抵抗性前列腺癌等适应症的临床开发,以及TT-00973的临床开发;(ii)配售事项所得款项净额的约33%,或约93.11百万港元,用于公司的核心产品Tinengotinib在中国的生产及其商业化,包括商业团队的组建及相关营销活动;及(iii)配售事项所得款项净额的约10%,或约28.21百万港元,用于营运资金及一般企业用途。",HKD,--,生物技术,制药,139915,9,--,7847550.0000,麦格理资本股份有限公司,--,麦格理资本股份有限公司,--,--,--,--,--,--,--,--,药捷安康-B
1413.HK,铸帝控股,供股,实施完成,2026/04/14,2026/06/09,--,--,0.2140,--,--,--,HKD,每持有2股股份获发1股供股股份,楼宇建造,建筑与工程,26067,8,2026/06/11,--,鼎石证券有限公司,--,--,--,--,--,--,--,--,--,--,铸帝控股
3330.HK,灵宝黄金,配售,实施完成,2026/04/14,2026/04/22,29816000.0000,--,26.1600,779986560.0000,770600000.0000,公司打算将所得款项净额用于收购及兴建海外优质金矿资产、探索及扩充矿产资源及拨作一般营运资金。,HKD,--,黄金及贵金属,黄金,139917,9,--,9386560.0000,"招银国际融资有限公司,海通国际证券有限公司",--,"国泰海通证券股份有限公司,海通国际证券有限公司",--,"国泰海通证券股份有限公司,招银国际融资有限公司,海通国际证券有限公司",--,--,--,--,--,--,灵宝黄金
2473.HK,喜相逢集团,配售,实施完成,2026/04/13,2026/04/21,154687500.0000,--,0.9800,151593750.0000,151000000.0000,"(i)约75百万港元,即50%,将由集团用于购置与主营业务相关的机动车辆,包括为集团汽车零售及融资业务及汽车相关业务项下拟销售或出租予客户的车辆采购,以及为支持集团直接零售业务及海外业务拓展持续发展所需的车辆采购。该等资金预期将于十二(12)个月内悉数动用;及(ii)约75百万港元,即50%,将用作补充集团经营附属公司的一般营运资金,以供一般企业用途,包括支持集团主营业务的日常营运及持续业务发展。该等资金预期将于十二(12)个月内悉数动用。",HKD,--,汽车,汽车零售,139907,9,--,593750.0000,华富建业证券有限公司,--,--,--,--,--,--,--,--,--,--,喜相逢集团
2495.HK,声通科技,配售,实施终止,2026/04/10,2026/04/30,--,--,--,--,--,"公司的主营业务依托先进的融合通信技术、核心对话式AI技术与自主可控的产品引擎,满足‘沟通协作’、‘智能决策’、‘高效执行’等企业多元化需求。其为企业提供一站式企业级智能交互体验,助力客户显著提升信息交换效率及商业交互智能化水平。公司的解决方案已广泛应用于城市管理与行政、汽车与交通、电信与金融等重点行业,赋能客户数字化转型与业务创新。董事认为,认购事项B将加强集团的财务状况,并扩大公司的股东基础及资本基础,支持其在对话式AI领域的长期发展及业务增长。特别是,董事相信,认购事项B可进一步提升公司在企业级交互式人工智能领域的技术优势及商业落地能力。基于行业最新技术趋势及商业场景中客户需求的变化,并立足于公司现有技术基础及解决方案,认购事项B将支持在构建基于元模型的多模态融合架构方面的进一步研发与产品创新,以及开发具备持续学习能力的智能体及多智能体分工协同技术体系,同时显著增强解决方案在实际商业场景中的交付能力。认购事项B的所得款项总额及所得款项净额将分别约为94.0百万港元及93.6百万港元。公司拟将认购事项B所得款项净额用于下列用途(1)所得款项约50%将用于研发投入,以增强公司的技术能力及提升产品创新水平,其中包括(a)构建基于元模型的多模态融合架构的研发及产品创新;及(b)开发具备持续学习能力的智能体及多智能体分工协同技术体系;(2)所得款项约50%将用于营运资金及一般企业用途,包括(a)支付员工薪酬、社会保险、住房公积金及其他人力资源开支;(b)采购主营业务所需的硬件、设备及服务;(c)偿还银行贷款;及(d)其他行政开支。",HKD,"董事会谨此宣布,于2026年4月30日,公司与认购人B已相互同意透过订立终止契据(‘终止契据’)终止认购协议B,即时生效。根据终止契据,认购人B及公司同意自该日期起终止认购协议,且各订约方相互解除其于认购协议B项下的所有过往、现时及未来的责任、义务及负债,尽管认购协议B的任何条款另有规定。终止认购协议B乃鉴于当前市况而作出的共同决定。董事认为,终止认购协议B将不会对集团的业务营运及财务状况造成任何重大不利影响。",数码解决方案服务,互联网服务和基础设施,139905,9,--,--,--,--,--,--,--,--,--,--,--,--,--,声通科技
8403.HK,德丰宿来,配售,实施完成,2026/04/10,2026/04/30,15200000.0000,9.87013,2.4000,36480000.0000,35700000.0000,"(i)约42.02%(约15.00百万港元)用作展览及活动相关业务日常营运的营运资金及行政开支;(ii)约22.41%(约8.00百万港元)用作扩大集团广告相关业务进入农产品细分市场的营运资金;(iii)约7.56%(约2.70百万港元)用作采购平台的持续开发及技术人员配置;及(iv)余下约28.01%(约10.00百万港元)用作集团的一般营运资金,包括但不限于员工薪金、董事薪酬、办公室租金及差饷、专业费用(包括但不限于法律顾问、核数师)、上市年费及其他行政开支。",HKD,--,广告及宣传,特殊消费者服务,139906,9,--,780000.0000,远源证券有限公司,--,--,--,--,--,--,--,--,--,--,德丰宿来
9958.HK,力天影业,配售,实施完成,2026/04/10,2026/04/22,68000000.0000,15.740741,0.1560,10608000.0000,10330000.0000,"董事拟将配售事项之所得款项净额计划用作集团现有业务的一般营运资金用途,预期将于2026年12月前悉数动用。",HKD,--,影视娱乐,电影和娱乐,139904,9,--,278000.0000,凯基证券亚洲有限公司,--,--,--,--,--,--,--,--,--,--,力天影业
0381.HK,权识国际,配售,预案,2026/04/02,--,--,--,--,--,--,"认购人根据认购协议应付之认购款项约39,770,000港元将以抵销全部债务金额之方式偿付。",HKD,--,玩具及消闲用品,休闲用品,139902,9,--,--,--,--,--,--,--,--,--,--,--,--,--,权识国际
8007.HK,环球战略集团,配售,实施完成,2026/04/02,2026/04/21,37719571.0000,20.0,0.2200,8298306.0000,7880000.0000,"(i)约4.30百万港元(占所得款项净额约54.58%)用于赎回公司发行的债券;(ii)约1.00百万港元(占所得款项净额约12.69%)用于支付集团的专业费用;及(iii)约2.58百万港元(占所得款项净额约32.73%)作为集团的一般营运资金,以支持及促进集团的日常营运,并支付集团的基本开支,包括员工薪金及雇员福利、租金开支、办公室间接费用及其他一般及行政开支。",HKD,--,燃气供应,贸易公司与经销商,139903,9,--,418306.0000,日发证券有限公司,--,--,--,--,--,--,--,--,--,--,环球战略集团
0810.HK,中国铸晨81,配售,实施完成,2026/04/01,2026/04/20,235844989.0000,33.089387,0.1020,24056189.0000,22798120.0000,"(i)约70%(或约34,470,000港元)投资于上市证券及非上市证券,包括但不限于人工智能、数字资产及╱或新能源板块者;及(ii)约30%(或约14,770,000港元)用于集团的一般营运资金,包括支付员工成本、专业费用、行政开支及其他经营开支。",HKD,--,投资及资产管理,多领域控股,139899,9,--,1258069.0000,--,--,--,--,--,--,--,--,--,--,--,中国铸晨81
0875.HK,从玉智农,配售,预案,2026/04/01,--,--,--,--,--,--,(i)约60.0百万港元(即所得款项净额约89.1%)用于偿还借款;及(ii)约7.3百万港元剩余结余(即所得款项净额约10.9%)将用于集团一般营运资金。,HKD,--,农产品,农产品与服务,139901,9,--,--,Funderstone Securities Limited,--,--,--,--,--,--,--,--,--,--,从玉智农
2439.HK,中宝新材,配售,实施完成,2026/04/01,2026/04/22,200000000.0000,20.0,0.2300,46000000.0000,45800000.0000,(i)所得款项净额中约62.88%(即约28.8百万港元)用于采购生产材料;(ii)所得款项净额中约21.84%(即约10.0百万港元)用于研发新产品;及(iii)所得款项净额中约15.28%(即约7.0百万港元)用于推广公司产品。,HKD,--,印刷及包装,商品化工,139900,9,--,200000.0000,宝新证券有限公司,--,--,--,--,--,--,--,--,--,--,中宝新材
0110.HK,中国长远,配售,预案,2026/03/31,--,--,--,--,--,--,公司拟将所得款项净额用作集团一般营运资金。,HKD,--,消费性电讯设备,技术产品经销商,139897,9,--,--,--,--,--,--,--,--,--,浤博资本有限公司,--,--,--,中国长远
2007.HK,碧桂园,配售,实施完成,2026/03/31,2026/04/14,219375000.0000,0.514168,0.3200,70200000.0000,70200000.0000,根据一般授权发行额外工作费用股份以结付应以现金形式支付予专案小组工作费用的未支付工作费用。,HKD,--,地产发展商,房地产开发,139898,9,--,0.0000,--,--,--,--,--,--,--,--,--,--,--,碧桂园
0164.HK,中国宝力科技,配售,实施完成,2026/03/30,2026/04/15,38440000.0000,13.207229,0.4000,15376000.0000,12500000.0000,"集团拟将认购事项所得款项净额用于蒙古国干磨干选项目之一般营运资金,包括(i)约6,500,000港元用于项目营运所需机械及设备之制造及零件采购;(ii)约2,000,000港元用于铁矿石之专业测试及分析;(iii)约1,000,000港元用于项目技术及支援人员之员工成本;(iv)约1,000,000港元用于设备及材料交付之物流及运输开支;及(v)约2,000,000港元用于研发干磨干选技术之成本及各种项目相关管理开支。",HKD,--,广告及宣传,消费电子产品,139893,9,--,2876000.0000,--,--,--,--,--,--,--,--,--,--,--,中国宝力科技
2159.HK,麦迪卫康,配售,预案,2026/03/30,--,--,--,--,--,--,"公司拟将配售事项所得款项净额首先用于支付代价的现金部分91.77百万港元,而余额约0.57百万港元将用于支持集团在人工智能医疗垂直模型开发方面的创新业务,例如支付员工相关成本及╱或偿还承兑票据(由董事会厘定)。倘若配售事项认购不足,所得款项将悉数用于支付代价的现金部分。",HKD,--,医疗及医学美容服务,调查和咨询服务,139894,9,--,--,万海证券(香港)有限公司,--,--,--,--,--,--,衍丰企业融资有限公司,--,--,--,麦迪卫康
8299.HK,大唐黄金,代价发行,预案,2026/03/30,--,--,--,--,--,--,向国泰黄金投资控股有限公司收购长盛联合投资有限公司的全部已发行股本。,HKD,"(i)于签署协议之时或之前向卖方支付金额为168,000,000港元的代价的按金及付款;(ii)于完成日期向卖方支付金额为79,000,000港元的现金代价;及(iii)于自完成日期透过按每股0.5港元的发行价向卖方或其指定人士发行及配发代价股份结算338,000,000港元。",黄金及贵金属,黄金,134218,10,--,--,--,--,--,--,--,--,--,--,--,--,--,大唐黄金
1069.HK,中国健康科技集团,供股,预案,2026/03/27,2026/06/16,--,--,0.2500,--,--,"(a)约22.0百万港元(即所得款项净额约44.00%)拟用作透过多种方式扩大人参种植规模,包括但不限于收购森林及其他种植场地以及相关市场推广及宣传活动,以支持集团人参业务的扩张;(b)约18.0百万港元(即所得款项净额约36.00%)拟用作投资医疗美容行业,包括但不限于收购设备、设立营运设施及相关业务发展;及(c)约10.0百万港元(即所得款项净额约20.00%)拟用作集团的一般营运资金,包括但不限于薪金开支及其他办公室及企业开支。",HKD,每1股供2股,林业及木材,林业产品,26066,8,2026/06/18,--,骏达证券有限公司,--,--,--,--,--,--,--,--,--,--,中国健康科技集团
2503.HK,中深建业,供股,预案,2026/03/26,2026/07/02,--,--,0.1500,--,--,"(i)约225.3百万港元(占所得款项净额约66.0%)用于应付集团最近获授若干项目的资金需求及现金流量。集团预计于2027年底全部使用此项所得款项净额;(ii)约68.2百万港元(占所得款项净额约20.0%)用于偿还债务(包括应付贸易及其他款项以及应计费用)。集团预计于2026年底全部使用此项所得款项净额;及(iii)约47.8百万港元(占所得款项净额约14.0%)用作集团一般营运资金,包括员工成本、租金开支、法律及专业费用及其他经营开支。集团预计于2027年底全部使用此项所得款项净额。",HKD,每1股供2股,楼宇建造,建筑与工程,26065,8,2026/07/06,--,贝塔国际证券有限公司,--,--,--,--,--,--,--,--,--,--,中深建业
3788.HK,罕王黄金,代价发行,预案,2026/03/26,--,--,--,--,--,--,向Golden Resource、Qiu Family Fund、Tuochuan Capital、乾龙财富、明德资本、EliteConsulting及Elite XL Family Trust收购罕王黄金有限公司9.56%股权。,HKD,--,钢铁,多种金属与采矿,134216,10,--,--,--,--,--,--,--,--,--,嘉林资本有限公司,--,--,--,罕王黄金
8153.HK,嘉鼎国际集团,配售,实施完成,2026/03/26,2026/04/24,6930000.0000,19.991245,0.7000,4851000.0000,4700000.0000,用作一般营运资金。,HKD,--,广告及宣传,广告,139891,9,--,151000.0000,昌利证券有限公司,--,--,--,--,--,--,--,--,--,--,嘉鼎国际集团
