ipo_id,stock_code,source,l1_name,l2_name,l3_name,l4_name,leaf_bid,leaf_level,data_date
HK_2370_HK_2022,2370.HK,ths_global,房地产服务,,,,161004_60201040,6,2026-05-09
HK_2372_HK_2022,2372.HK,ths_global,原材料,原材料Ⅱ,容器与包装,纸和塑料包装产品和材料,011003002001005015,6,2026-05-09
HK_2373_HK_2023,2373.HK,ths_global,医疗保健,医疗保健设备与服务,医疗保健提供商与服务,保健护理机构,011003006001041103,6,2026-05-09
HK_2376_HK_2022,2376.HK,ths_global,房地产经营公司,,,,161004_60201020,6,2026-05-09
HK_2385_HK_2022,2385.HK,ths_global,非日常生活消费品,消费者服务,综合消费者服务,教育服务,011003004003028068,6,2026-05-09
HK_2390_HK_2022,2390.HK,sw,传媒,数字媒体,文字媒体,,011008026004005,5,2026-05-09
HK_2390_HK_2022,2390.HK,ths_global,通讯业务,媒体与娱乐,互动媒体与服务Ⅲ,互动媒体与服务Ⅳ,011003009002003001,6,2026-05-09
HK_2391_HK_2022,2391.HK,sw,计算机,IT服务Ⅱ,IT服务Ⅲ,,011008025002001,5,2026-05-09
HK_2391_HK_2022,2391.HK,ths_global,信息技术,软件与服务,信息技术服务,互联网服务和基础设施,011003008001056141,6,2026-05-09
HK_2392_HK_2022,2392.HK,ths_global,信息技术,软件与服务,信息技术服务,信息科技咨询与其它服务,011003008001056139,6,2026-05-09
HK_2396_HK_2025,2396.HK,ths_global,医疗保健,制药、生物科技和生命科学,制药Ⅲ,制药Ⅳ,011003006002044107,6,2026-05-09
HK_2402_HK_2023,2402.HK,sw,电力设备,电池,燃料电池,,011008022005004,5,2026-05-09
HK_2402_HK_2023,2402.HK,ths_global,能源,能源Ⅱ,石油、天然气与消费用燃料,煤与消费用燃料,011003001001002007,6,2026-05-09
HK_2405_HK_2023,2405.HK,ths_global,通讯业务,媒体与娱乐,互动媒体与服务Ⅲ,互动媒体与服务Ⅳ,011003009002003001,6,2026-05-09
HK_2407_HK_2022,2407.HK,sw,医药生物,医疗器械,医疗设备,,011008011005001,5,2026-05-09
HK_2407_HK_2022,2407.HK,ths_global,医疗保健,医疗保健设备与服务,医疗保健设备与用品,医疗保健设备,011003006001040099,6,2026-05-09
HK_2408_HK_2025,2408.HK,ths_global,非日常生活消费品,消费者服务,酒店、餐馆与休闲,餐馆,011003004003027067,6,2026-05-09
HK_2409_HK_2023,2409.HK,ths_global,工业,运输,海上运输,海运,011003003003019044,6,2026-05-09
HK_2410_HK_2024,2410.HK,sw,医药生物,化学制药,化学制剂,,011008011001002,5,2026-05-09
HK_2410_HK_2024,2410.HK,ths_global,医疗保健,制药、生物科技和生命科学,制药Ⅲ,制药Ⅳ,011003006002044107,6,2026-05-09
HK_2411_HK_2023,2411.HK,sw,商贸零售,专业连锁Ⅱ,专业连锁Ⅲ,,011008015003001,5,2026-05-09
HK_2411_HK_2023,2411.HK,ths_global,日常消费品,日常消费品分销和零售,日常消费品分销和零售,食品零售,011003005001034088,6,2026-05-09
HK_2415_HK_2023,2415.HK,sw,医药生物,医疗服务,其他医疗服务,,011008011006004,5,2026-05-09
HK_2415_HK_2023,2415.HK,ths_global,医疗保健,医疗保健设备与服务,医疗保健技术Ⅲ,医疗保健技术Ⅳ,011003006001042105,6,2026-05-09
HK_2416_HK_2023,2416.HK,sw,计算机,IT服务Ⅱ,IT服务Ⅲ,,011008025002001,5,2026-05-09
HK_2416_HK_2023,2416.HK,ths_global,信息技术,软件与服务,信息技术服务,互联网服务和基础设施,011003008001056141,6,2026-05-09
HK_2418_HK_2022,2418.HK,ths_global,工业,资本品,贸易公司与经销商Ⅲ,贸易公司与经销商Ⅳ,011003003001014031,6,2026-05-09
HK_2419_HK_2023,2419.HK,sw,农林牧渔,养殖业,生猪养殖,,011008001006001,5,2026-05-09
HK_2419_HK_2023,2419.HK,ths_global,日常消费品,食品、饮料与烟草,食品,农产品与服务,011003005002036093,6,2026-05-09
HK_2420_HK_2022,2420.HK,ths_global,多品类零售,,,,161004_25503030,6,2026-05-09
HK_2421_HK_2023,2421.HK,ths_global,房地产开发,,,,161004_60201030,6,2026-05-09
HK_2422_HK_2022,2422.HK,ths_global,信息技术,软件与服务,信息技术服务,互联网服务和基础设施,011003008001056141,6,2026-05-09
HK_2423_HK_2022,2423.HK,sw,房地产,房地产服务,房产租赁经纪,,011008014002002,5,2026-05-09
HK_2423_HK_2022,2423.HK,ths_global,房地产经营公司,,,,161004_60201020,6,2026-05-09
HK_2425_HK_2022,2425.HK,ths_global,日常消费品,日常消费品分销和零售,日常消费品分销和零售,食品分销商,011003005001034087,6,2026-05-09
HK_2427_HK_2022,2427.HK,ths_global,医疗保健,医疗保健设备与服务,医疗保健设备与用品,医疗保健设备,011003006001040099,6,2026-05-09
HK_2429_HK_2023,2429.HK,sw,商贸零售,专业连锁Ⅱ,专业连锁Ⅲ,,011008015003001,5,2026-05-09
HK_2429_HK_2023,2429.HK,ths_global,日常消费品,日常消费品分销和零售,日常消费品分销和零售,食品零售,011003005001034088,6,2026-05-09
HK_2431_HK_2024,2431.HK,sw,计算机,计算机设备,其他计算机设备,,011008025001002,5,2026-05-09
HK_2431_HK_2024,2431.HK,ths_global,非日常生活消费品,汽车与汽车零部件,汽车零部件,汽车零件与设备,011003004001022050,6,2026-05-09
HK_2432_HK_2024,2432.HK,sw,机械设备,自动化设备,机器人,,011008023005001,5,2026-05-09
HK_2432_HK_2024,2432.HK,ths_global,信息技术,技术硬件与设备,电子设备、仪器和元件,电子制造服务,011003008002060150,6,2026-05-09
HK_2433_HK_2023,2433.HK,ths_global,工业,资本品,建筑与工程Ⅲ,建筑与工程Ⅳ,011003003001010025,6,2026-05-09
HK_2436_HK_2022,2436.HK,ths_global,信息技术,技术硬件与设备,电子设备、仪器和元件,技术产品经销商,011003008002060151,6,2026-05-09
